Subject,Type,Project,Parent,Priority,Status,Start date,Due date,Assignee,Estimated time,Labels,Version,Story Points,Risk Level,Definition of Ready,Definition of Done,Acceptance Criteria,Success Metrics,External Dependencies,Rollback Plan,Description,% Complete,Role,AI Agent Instructions
a11y Audit: Dialpad,Task,Psitrix Psynq,Feature: WebRTC Softphone,Normal,New,2026-03-05,2026-03-06,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Keyboard navigation
- Screen reader support
- Color contrast
- ARIA labels",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'a11y Audit: Dialpad'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
i18n Support: Dialpad,Task,Psitrix Psynq,Feature: WebRTC Softphone,Low,New,2026-03-03,2026-03-04,Developer,4h,"Frontend,i18n",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/locales/en/dialpad.json`
**Requirements:**
- Extract all strings
- Add translation keys
- Support RTL if needed",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'i18n Support: Dialpad'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Error Boundary: Dialpad,Task,Psitrix Psynq,Feature: WebRTC Softphone,Low,New,2026-03-04,2026-03-05,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Requirements:**
- Graceful error fallback
- Retry mechanism
- Error logging",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Error Boundary: Dialpad'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Build Component: ActiveCall,Task,Psitrix Psynq,Feature: WebRTC Softphone,High,New,2026-03-01,2026-03-03,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/softphone/ActiveCall.tsx`
**Props Interface:** `ActiveCallProps`
**Requirements:**
- Functional component with Hooks
- Tailwind CSS styling
- Responsive design
- Accessibility (ARIA)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Build Component: ActiveCall'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Logic: ActiveCall,Task,Psitrix Psynq,Feature: WebRTC Softphone,Normal,New,2026-03-02,2026-03-04,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/softphone/useActiveCall.ts` (Custom Hook)
**Requirements:**
- Handle API calls (React Query)
- Form validation (Zod/React Hook Form)
- State management (Zustand if needed)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Logic: ActiveCall'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Test Component: ActiveCall,Task,Psitrix Psynq,Feature: WebRTC Softphone,Normal,New,2026-03-03,2026-03-05,Developer,4h,"Frontend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/softphone/ActiveCall.test.tsx`
**Requirements:**
- Render testing (React Testing Library)
- User interaction simulation
- Mock API calls (MSW)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Test Component: ActiveCall'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Storybook: ActiveCall,Task,Psitrix Psynq,Feature: WebRTC Softphone,Low,New,2026-03-04,2026-03-05,Developer,4h,"Frontend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/softphone/ActiveCall.stories.tsx`
**Requirements:**
- Default state
- Loading state
- Error state
- Empty state",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Storybook: ActiveCall'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Responsive Check: ActiveCall,Task,Psitrix Psynq,Feature: WebRTC Softphone,Normal,New,2026-03-05,2026-03-06,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Mobile view (320px)
- Tablet view (768px)
- Desktop view (1024px+)
- Flex/Grid behavior",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Responsive Check: ActiveCall'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
a11y Audit: ActiveCall,Task,Psitrix Psynq,Feature: WebRTC Softphone,Normal,New,2026-03-05,2026-03-06,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Keyboard navigation
- Screen reader support
- Color contrast
- ARIA labels",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'a11y Audit: ActiveCall'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
i18n Support: ActiveCall,Task,Psitrix Psynq,Feature: WebRTC Softphone,Low,New,2026-03-03,2026-03-04,Developer,4h,"Frontend,i18n",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/locales/en/activecall.json`
**Requirements:**
- Extract all strings
- Add translation keys
- Support RTL if needed",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'i18n Support: ActiveCall'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Error Boundary: ActiveCall,Task,Psitrix Psynq,Feature: WebRTC Softphone,Low,New,2026-03-04,2026-03-05,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Requirements:**
- Graceful error fallback
- Retry mechanism
- Error logging",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Error Boundary: ActiveCall'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Build Component: IncomingCallModal,Task,Psitrix Psynq,Feature: WebRTC Softphone,High,New,2026-03-01,2026-03-03,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/softphone/IncomingCallModal.tsx`
**Props Interface:** `IncomingCallModalProps`
**Requirements:**
- Functional component with Hooks
- Tailwind CSS styling
- Responsive design
- Accessibility (ARIA)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Build Component: IncomingCallModal'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Logic: IncomingCallModal,Task,Psitrix Psynq,Feature: WebRTC Softphone,Normal,New,2026-03-02,2026-03-04,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/softphone/useIncomingCallModal.ts` (Custom Hook)
**Requirements:**
- Handle API calls (React Query)
- Form validation (Zod/React Hook Form)
- State management (Zustand if needed)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Logic: IncomingCallModal'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Test Component: IncomingCallModal,Task,Psitrix Psynq,Feature: WebRTC Softphone,Normal,New,2026-03-03,2026-03-05,Developer,4h,"Frontend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/softphone/IncomingCallModal.test.tsx`
**Requirements:**
- Render testing (React Testing Library)
- User interaction simulation
- Mock API calls (MSW)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Test Component: IncomingCallModal'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Storybook: IncomingCallModal,Task,Psitrix Psynq,Feature: WebRTC Softphone,Low,New,2026-03-04,2026-03-05,Developer,4h,"Frontend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/softphone/IncomingCallModal.stories.tsx`
**Requirements:**
- Default state
- Loading state
- Error state
- Empty state",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Storybook: IncomingCallModal'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Responsive Check: IncomingCallModal,Task,Psitrix Psynq,Feature: WebRTC Softphone,Normal,New,2026-03-05,2026-03-06,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Mobile view (320px)
- Tablet view (768px)
- Desktop view (1024px+)
- Flex/Grid behavior",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Responsive Check: IncomingCallModal'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
a11y Audit: IncomingCallModal,Task,Psitrix Psynq,Feature: WebRTC Softphone,Normal,New,2026-03-05,2026-03-06,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Keyboard navigation
- Screen reader support
- Color contrast
- ARIA labels",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'a11y Audit: IncomingCallModal'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
i18n Support: IncomingCallModal,Task,Psitrix Psynq,Feature: WebRTC Softphone,Low,New,2026-03-03,2026-03-04,Developer,4h,"Frontend,i18n",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/locales/en/incomingcallmodal.json`
**Requirements:**
- Extract all strings
- Add translation keys
- Support RTL if needed",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'i18n Support: IncomingCallModal'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Error Boundary: IncomingCallModal,Task,Psitrix Psynq,Feature: WebRTC Softphone,Low,New,2026-03-04,2026-03-05,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Requirements:**
- Graceful error fallback
- Retry mechanism
- Error logging",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Error Boundary: IncomingCallModal'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: Agent Status,Feature,Psitrix Psynq,Epic: Agent Desktop,High,New,2026-03-01,2026-03-11,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Status Controls,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Agent Status'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Build Component: StatusSelector,Task,Psitrix Psynq,Feature: Agent Status,High,New,2026-03-01,2026-03-03,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/agent/StatusSelector.tsx`
**Props Interface:** `StatusSelectorProps`
**Requirements:**
- Functional component with Hooks
- Tailwind CSS styling
- Responsive design
- Accessibility (ARIA)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Build Component: StatusSelector'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Logic: StatusSelector,Task,Psitrix Psynq,Feature: Agent Status,Normal,New,2026-03-02,2026-03-04,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/agent/useStatusSelector.ts` (Custom Hook)
**Requirements:**
- Handle API calls (React Query)
- Form validation (Zod/React Hook Form)
- State management (Zustand if needed)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Logic: StatusSelector'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Test Component: StatusSelector,Task,Psitrix Psynq,Feature: Agent Status,Normal,New,2026-03-03,2026-03-05,Developer,4h,"Frontend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/agent/StatusSelector.test.tsx`
**Requirements:**
- Render testing (React Testing Library)
- User interaction simulation
- Mock API calls (MSW)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Test Component: StatusSelector'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Storybook: StatusSelector,Task,Psitrix Psynq,Feature: Agent Status,Low,New,2026-03-04,2026-03-05,Developer,4h,"Frontend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/agent/StatusSelector.stories.tsx`
**Requirements:**
- Default state
- Loading state
- Error state
- Empty state",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Storybook: StatusSelector'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Responsive Check: StatusSelector,Task,Psitrix Psynq,Feature: Agent Status,Normal,New,2026-03-05,2026-03-06,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Mobile view (320px)
- Tablet view (768px)
- Desktop view (1024px+)
- Flex/Grid behavior",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Responsive Check: StatusSelector'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
a11y Audit: StatusSelector,Task,Psitrix Psynq,Feature: Agent Status,Normal,New,2026-03-05,2026-03-06,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Keyboard navigation
- Screen reader support
- Color contrast
- ARIA labels",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'a11y Audit: StatusSelector'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
i18n Support: StatusSelector,Task,Psitrix Psynq,Feature: Agent Status,Low,New,2026-03-03,2026-03-04,Developer,4h,"Frontend,i18n",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/locales/en/statusselector.json`
**Requirements:**
- Extract all strings
- Add translation keys
- Support RTL if needed",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'i18n Support: StatusSelector'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Error Boundary: StatusSelector,Task,Psitrix Psynq,Feature: Agent Status,Low,New,2026-03-04,2026-03-05,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Requirements:**
- Graceful error fallback
- Retry mechanism
- Error logging",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Error Boundary: StatusSelector'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Build Component: BreakTimer,Task,Psitrix Psynq,Feature: Agent Status,High,New,2026-03-01,2026-03-03,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/agent/BreakTimer.tsx`
**Props Interface:** `BreakTimerProps`
**Requirements:**
- Functional component with Hooks
- Tailwind CSS styling
- Responsive design
- Accessibility (ARIA)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Build Component: BreakTimer'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Logic: BreakTimer,Task,Psitrix Psynq,Feature: Agent Status,Normal,New,2026-03-02,2026-03-04,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/agent/useBreakTimer.ts` (Custom Hook)
**Requirements:**
- Handle API calls (React Query)
- Form validation (Zod/React Hook Form)
- State management (Zustand if needed)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Logic: BreakTimer'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Test Component: BreakTimer,Task,Psitrix Psynq,Feature: Agent Status,Normal,New,2026-03-03,2026-03-05,Developer,4h,"Frontend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/agent/BreakTimer.test.tsx`
**Requirements:**
- Render testing (React Testing Library)
- User interaction simulation
- Mock API calls (MSW)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Test Component: BreakTimer'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Storybook: BreakTimer,Task,Psitrix Psynq,Feature: Agent Status,Low,New,2026-03-04,2026-03-05,Developer,4h,"Frontend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/components/agent/BreakTimer.stories.tsx`
**Requirements:**
- Default state
- Loading state
- Error state
- Empty state",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Storybook: BreakTimer'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Responsive Check: BreakTimer,Task,Psitrix Psynq,Feature: Agent Status,Normal,New,2026-03-05,2026-03-06,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Mobile view (320px)
- Tablet view (768px)
- Desktop view (1024px+)
- Flex/Grid behavior",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Responsive Check: BreakTimer'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
a11y Audit: BreakTimer,Task,Psitrix Psynq,Feature: Agent Status,Normal,New,2026-03-05,2026-03-06,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Keyboard navigation
- Screen reader support
- Color contrast
- ARIA labels",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'a11y Audit: BreakTimer'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
i18n Support: BreakTimer,Task,Psitrix Psynq,Feature: Agent Status,Low,New,2026-03-03,2026-03-04,Developer,4h,"Frontend,i18n",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/locales/en/breaktimer.json`
**Requirements:**
- Extract all strings
- Add translation keys
- Support RTL if needed",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'i18n Support: BreakTimer'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Error Boundary: BreakTimer,Task,Psitrix Psynq,Feature: Agent Status,Low,New,2026-03-04,2026-03-05,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Requirements:**
- Graceful error fallback
- Retry mechanism
- Error logging",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Error Boundary: BreakTimer'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Phase: Mobile Companion App,Phase,Psitrix Psynq,,Normal,New,2026-04-15,2026-06-14,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,React Native App for Supervisors/Agents,0,Developer,
Epic: Mobile Core & Scaffolding,Epic,Psitrix Psynq,Phase: Mobile Companion App,High,New,2026-04-15,2026-05-05,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,React Native Setup,0,Developer,
Feature: Shared Core Integration,Feature,Psitrix Psynq,Epic: Mobile Core & Scaffolding,High,New,2026-04-15,2026-04-25,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Monorepo logic sharing,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Shared Core Integration'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Build Component: SharedProvider,Task,Psitrix Psynq,Feature: Shared Core Integration,High,New,2026-04-15,2026-04-17,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/mobile/src/core/SharedProvider.tsx`
**Props Interface:** `SharedProviderProps`
**Requirements:**
- Functional component with Hooks
- Tailwind CSS styling
- Responsive design
- Accessibility (ARIA)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Build Component: SharedProvider'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Logic: SharedProvider,Task,Psitrix Psynq,Feature: Shared Core Integration,Normal,New,2026-04-16,2026-04-18,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/mobile/src/core/useSharedProvider.ts` (Custom Hook)
**Requirements:**
- Handle API calls (React Query)
- Form validation (Zod/React Hook Form)
- State management (Zustand if needed)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Logic: SharedProvider'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
